Date,Ratio,hA
1988-08-07, 4.68,4.68
1988-08-14, 4.90,4.79
1988-08-21, 5.13,4.90
1988-08-28, 5.05,4.94
1988-09-04, 5.29,5.01
1988-09-11, 5.54,5.10
1988-09-18, 5.92,5.22
1988-09-25, 6.07,5.32
1988-10-02, 6.20,5.42
1988-10-09, 6.63,5.54
1988-10-16, 7.14,5.69
1988-10-23, 7.20,5.81
1988-10-30, 7.08,5.91
1988-11-06, 6.80,5.97
1988-11-13, 6.94,6.04
1988-11-20, 7.52,6.13
1988-11-27, 7.40,6.21
1988-12-04, 8.14,6.31
1988-12-11, 7.77,6.39
1988-12-18, 8.24,6.48
1988-12-25, 8.34,6.57
1989-01-01, 8.19,6.64
1989-01-08, 8.55,6.73
1989-01-15, 8.41,6.80
1989-01-22, 8.65,6.87
1989-01-29, 7.64,6.90
1989-02-05, 7.71,6.93
1989-02-12, 7.55,6.95
1989-02-19, 7.92,6.99
1989-02-26, 8.81,7.05
1989-03-05, 8.32,7.09
1989-03-12, 8.00,7.12
1989-03-19, 7.90,7.14
1989-03-26, 7.70,7.16
1989-04-02, 7.81,7.18
1989-04-09, 8.48,7.21
1989-04-16, 8.05,7.23
1989-04-23, 8.25,7.26
1989-04-30, 7.74,7.27
1989-05-07, 7.38,7.28
1989-05-14, 7.22,7.27
1989-05-21, 6.84,7.26
1989-05-28, 6.78,7.25
1989-06-04, 6.96,7.25
1989-06-11, 7.03,7.24
1989-06-18, 6.49,7.23
1989-06-25, 6.38,7.21
1989-07-02, 6.06,7.18
1989-07-09, 6.35,7.17
1989-07-16, 6.55,7.15
1989-07-23, 6.77,7.15
1989-07-30, 6.92,7.14
1989-08-06, 7.23,7.14
1989-08-13, 7.61,7.15
1989-08-20, 8.55,7.18
1989-08-27, 8.16,7.20
1989-09-03, 8.00,7.21
1989-09-10, 8.48,7.23
1989-09-17, 8.27,7.25
1989-09-24, 7.74,7.26
1989-10-01, 8.26,7.27
1989-10-08, 8.12,7.29
1989-10-15, 7.52,7.29
1989-10-22, 6.86,7.28
1989-10-29, 6.72,7.28
1989-11-05, 6.67,7.27
1989-11-12, 6.23,7.25
1989-11-19, 5.77,7.23
1989-11-26, 5.81,7.21
1989-12-03, 5.66,7.19
1989-12-10, 5.61,7.16
1989-12-17, 5.85,7.15
1989-12-24, 5.84,7.13
1989-12-31, 5.96,7.11
1990-01-07, 5.68,7.09
1990-01-14, 5.42,7.07
1990-01-21, 5.26,7.05
1990-01-28, 5.31,7.03
1990-02-04, 5.41,7.00
1990-02-11, 5.95,6.99
1990-02-18, 6.13,6.98
1990-02-25, 6.54,6.98
1990-03-04, 6.69,6.97
1990-03-11, 7.15,6.97
1990-03-18, 7.31,6.98
1990-03-25, 7.54,6.98
1990-04-01, 7.19,6.99
1990-04-08, 6.98,6.99
1990-04-15, 6.92,6.99
1990-04-22, 7.09,6.99
1990-04-29, 7.05,6.99
1990-05-06, 7.46,6.99
1990-05-13, 7.14,6.99
1990-05-20, 7.17,7.00
1990-05-27, 6.98,7.00
1990-06-03, 7.01,7.00
1990-06-10, 7.12,7.00
1990-06-17, 7.05,7.00
1990-06-24, 7.10,7.00
1990-07-01, 7.29,7.00
1990-07-08, 7.64,7.01
1990-07-15, 7.38,7.01
1990-07-22, 7.58,7.02
1990-07-29, 7.35,7.02
1990-08-05, 7.34,7.02
1990-08-12, 7.19,7.03
1990-08-19, 6.85,7.02
1990-08-26, 7.48,7.03
1990-09-02, 7.65,7.03
1990-09-09, 7.62,7.04
1990-09-16, 7.28,7.04
1990-09-23, 6.92,7.04
1990-09-30, 7.33,7.04
1990-10-07, 7.09,7.04
1990-10-14, 7.48,7.05
1990-10-21, 7.54,7.05
1990-10-28, 6.80,7.05
1990-11-04, 6.63,7.05
1990-11-11, 6.93,7.04
1990-11-18, 6.77,7.04
1990-11-25, 6.38,7.04
1990-12-02, 6.54,7.03
1990-12-09, 6.49,7.03
1990-12-16, 6.48,7.02
1990-12-23, 6.47,7.02
1990-12-30, 6.67,7.02
1991-01-06, 6.42,7.01
1991-01-13, 6.43,7.01
1991-01-20, 6.10,7.00
1991-01-27, 6.45,7.00
1991-02-03, 6.56,6.99
1991-02-10, 6.74,6.99
1991-02-17, 6.91,6.99
1991-02-24, 6.82,6.99
1991-03-03, 6.65,6.99
1991-03-10, 6.51,6.98
1991-03-17, 6.54,6.98
1991-03-24, 6.56,6.98
1991-03-31, 6.60,6.97
1991-04-07, 6.59,6.97
1991-04-14, 6.82,6.97
1991-04-21, 6.65,6.97
1991-04-28, 6.42,6.96
1991-05-05, 6.38,6.96
1991-05-12, 6.16,6.95
1991-05-19, 6.22,6.95
1991-05-26, 5.89,6.94
1991-06-02, 5.98,6.94
1991-06-09, 5.92,6.93
1991-06-16, 6.06,6.92
1991-06-23, 6.04,6.92
1991-06-30, 6.04,6.91
1991-07-07, 5.89,6.91
1991-07-14, 5.91,6.90
1991-07-21, 6.04,6.89
1991-07-28, 6.20,6.89
1991-08-04, 6.31,6.88
1991-08-11, 6.13,6.88
1991-08-18, 6.31,6.88
1991-08-25, 6.59,6.87
1991-09-01, 6.72,6.87
1991-09-08, 6.81,6.87
1991-09-15, 6.95,6.87
1991-09-22, 6.89,6.87
1991-09-29, 6.59,6.87
1991-10-06, 6.55,6.87
1991-10-13, 6.46,6.87
1991-10-20, 6.46,6.87
1991-10-27, 6.59,6.86
1991-11-03, 6.57,6.86
1991-11-10, 6.54,6.86
1991-11-17, 6.16,6.86
1991-11-24, 6.14,6.85
1991-12-01, 5.89,6.85
1991-12-08, 5.99,6.84
1991-12-15, 5.94,6.84
1991-12-22, 6.11,6.83
1991-12-29, 5.99,6.83
1992-01-05, 5.82,6.82
1992-01-12, 6.01,6.82
1992-01-19, 6.11,6.81
1992-01-26, 6.05,6.81
1992-02-02, 6.11,6.81
1992-02-09, 6.37,6.80
1992-02-16, 6.33,6.80
1992-02-23, 6.42,6.80
1992-03-01, 6.37,6.80
1992-03-08, 6.42,6.79
1992-03-15, 6.57,6.79
1992-03-22, 6.50,6.79
1992-03-29, 6.63,6.79
1992-04-05, 6.44,6.79
1992-04-12, 6.46,6.79
1992-04-19, 6.54,6.79
1992-04-26, 6.44,6.78
1992-05-03, 6.60,6.78
1992-05-10, 6.52,6.78
1992-05-17, 6.60,6.78
1992-05-24, 6.61,6.78
1992-05-31, 6.78,6.78
1992-06-07, 6.65,6.78
1992-06-14, 6.76,6.78
1992-06-21, 6.89,6.78
1992-06-28, 7.08,6.78
1992-07-05, 7.16,6.78
1992-07-12, 7.09,6.78
1992-07-19, 7.05,6.79
1992-07-26, 6.91,6.79
1992-08-02, 7.12,6.79
1992-08-09, 7.29,6.79
1992-08-16, 7.36,6.79
1992-08-23, 7.11,6.79
1992-08-30, 7.17,6.80
1992-09-06, 6.84,6.80
1992-09-13, 6.76,6.80
1992-09-20, 6.67,6.80
1992-09-27, 6.35,6.79
1992-10-04, 6.33,6.79
1992-10-11, 6.38,6.79
1992-10-18, 6.30,6.79
1992-10-25, 6.54,6.79
1992-11-01, 6.28,6.78
1992-11-08, 6.19,6.78
1992-11-15, 6.25,6.78
1992-11-22, 6.31,6.78
1992-11-29, 6.35,6.78
1992-12-06, 6.41,6.77
1992-12-13, 6.49,6.77
1992-12-20, 6.61,6.77
1992-12-27, 6.80,6.77
1993-01-03, 7.14,6.77
1993-01-10, 6.61,6.77
1993-01-17, 6.62,6.77
1993-01-24, 6.56,6.77
1993-01-31, 6.66,6.77
1993-02-07, 6.56,6.77
1993-02-14, 6.57,6.77
1993-02-21, 6.37,6.77
1993-02-28, 6.32,6.77
1993-03-07, 6.57,6.76
1993-03-14, 6.44,6.76
1993-03-21, 6.32,6.76
1993-03-28, 6.12,6.76
1993-04-04, 5.79,6.75
1993-04-11, 5.43,6.75
1993-04-18, 5.40,6.74
1993-04-25, 5.17,6.74
1993-05-02, 4.74,6.73
1993-05-09, 4.74,6.72
1993-05-16, 4.77,6.71
1993-05-23, 4.62,6.71
1993-05-30, 4.74,6.70
1993-06-06, 4.96,6.69
1993-06-13, 4.97,6.68
1993-06-20, 4.88,6.68
1993-06-27, 4.97,6.67
1993-07-04, 4.90,6.66
1993-07-11, 4.76,6.66
1993-07-18, 4.80,6.65
1993-07-25, 4.75,6.64
1993-08-01, 4.99,6.64
1993-08-08, 5.01,6.63
1993-08-15, 5.04,6.62
1993-08-22, 5.11,6.62
1993-08-29, 5.22,6.61
1993-09-05, 5.20,6.61
1993-09-12, 4.90,6.60
1993-09-19, 4.81,6.59
1993-09-26, 4.64,6.59
1993-10-03, 4.57,6.58
1993-10-10, 4.51,6.57
1993-10-17, 4.31,6.56
1993-10-24, 4.36,6.55
1993-10-31, 4.38,6.55
1993-11-07, 4.39,6.54
1993-11-14, 4.32,6.53
1993-11-21, 4.33,6.52
1993-11-28, 4.43,6.52
1993-12-05, 4.57,6.51
1993-12-12, 4.54,6.50
1993-12-19, 4.61,6.49
1993-12-26, 4.67,6.49
1994-01-02, 4.45,6.48
1994-01-09, 4.78,6.48
1994-01-16, 4.93,6.47
1994-01-23, 5.00,6.46
1994-01-30, 5.07,6.46
1994-02-06, 4.89,6.45
1994-02-13, 4.99,6.45
1994-02-20, 4.97,6.44
1994-02-27, 5.21,6.44
1994-03-06, 5.19,6.44
1994-03-13, 5.26,6.43
1994-03-20, 5.14,6.43
1994-03-27, 4.86,6.42
1994-04-03, 4.95,6.42
1994-04-10, 5.08,6.41
1994-04-17, 5.31,6.41
1994-04-24, 5.33,6.40
1994-05-01, 5.49,6.40
1994-05-08, 5.94,6.40
1994-05-15, 5.87,6.40
1994-05-22, 5.85,6.40
1994-05-29, 5.96,6.40
1994-06-05, 6.27,6.39
1994-06-12, 6.38,6.39
1994-06-19, 6.29,6.39
1994-06-26, 6.28,6.39
1994-07-03, 6.25,6.39
1994-07-10, 6.39,6.39
1994-07-17, 6.51,6.39
1994-07-24, 6.39,6.39
1994-07-31, 6.22,6.39
1994-08-07, 6.35,6.39
1994-08-14, 6.26,6.39
1994-08-21, 6.42,6.39
1994-08-28, 6.60,6.39
1994-09-04, 6.67,6.39
1994-09-11, 6.90,6.40
1994-09-18, 7.10,6.40
1994-09-25, 6.33,6.40
1994-10-02, 6.57,6.40
1994-10-09, 6.66,6.40
1994-10-16, 6.67,6.40
1994-10-23, 7.05,6.40
1994-10-30, 7.35,6.41
1994-11-06, 7.16,6.41
1994-11-13, 7.75,6.41
1994-11-20, 7.42,6.41
1994-11-27, 8.13,6.42
1994-12-04, 7.88,6.42
1994-12-11, 8.07,6.43
1994-12-18, 7.87,6.43
1994-12-25, 8.06,6.44
1995-01-01, 8.14,6.44
1995-01-08, 8.12,6.45
1995-01-15, 8.21,6.45
1995-01-22, 8.19,6.46
1995-01-29, 7.72,6.46
1995-02-05, 8.03,6.47
1995-02-12, 7.85,6.47
1995-02-19, 7.81,6.48
1995-02-26, 7.99,6.48
1995-03-05, 7.96,6.48
1995-03-12, 8.00,6.49
1995-03-19, 8.22,6.49
1995-03-26, 7.83,6.50
1995-04-02, 7.76,6.50
1995-04-09, 7.72,6.50
1995-04-16, 7.49,6.51
1995-04-23, 7.34,6.51
1995-04-30, 6.98,6.51
1995-05-07, 7.25,6.51
1995-05-14, 7.35,6.52
1995-05-21, 7.61,6.52
1995-05-28, 7.72,6.52
1995-06-04, 7.65,6.52
1995-06-11, 7.95,6.53
1995-06-18, 8.05,6.53
1995-06-25, 7.93,6.54
1995-07-02, 7.90,6.54
1995-07-09, 8.16,6.55
1995-07-16, 7.65,6.55
1995-07-23, 7.77,6.55
1995-07-30, 8.00,6.56
1995-08-06, 7.84,6.56
1995-08-13, 8.12,6.56
1995-08-20, 7.90,6.57
1995-08-27, 7.70,6.57
1995-09-03, 7.60,6.57
1995-09-10, 7.38,6.58
1995-09-17, 7.69,6.58
1995-09-24, 7.62,6.58
1995-10-01, 7.40,6.58
1995-10-08, 7.36,6.59
1995-10-15, 7.33,6.59
1995-10-22, 7.31,6.59
1995-10-29, 7.82,6.59
1995-11-05, 7.87,6.60
1995-11-12, 7.86,6.60
1995-11-19, 7.97,6.60
1995-11-26, 7.53,6.60
1995-12-03, 7.54,6.61
1995-12-10, 7.58,6.61
1995-12-17, 7.37,6.61
1995-12-24, 7.16,6.61
1995-12-31, 6.92,6.61
1996-01-07, 6.38,6.61
1996-01-14, 6.36,6.61
1996-01-21, 6.35,6.61
1996-01-28, 6.25,6.61
1996-02-04, 6.40,6.61
1996-02-11, 6.16,6.61
1996-02-18, 6.56,6.61
1996-02-25, 6.51,6.61
1996-03-03, 6.70,6.61
1996-03-10, 6.58,6.61
1996-03-17, 6.42,6.61
1996-03-24, 6.49,6.61
1996-03-31, 6.31,6.61
1996-04-07, 6.65,6.61
1996-04-14, 6.98,6.61
1996-04-21, 7.16,6.61
1996-04-28, 7.01,6.61
1996-05-05, 7.26,6.61
1996-05-12, 6.76,6.61
1996-05-19, 6.71,6.61
1996-05-26, 6.66,6.61
1996-06-02, 6.59,6.61
1996-06-09, 5.72,6.61
1996-06-16, 6.04,6.61
1996-06-23, 5.31,6.61
1996-06-30, 5.14,6.60
1996-07-07, 5.10,6.60
1996-07-14, 5.03,6.60
1996-07-21, 5.40,6.59
1996-07-28, 5.21,6.59
1996-08-04, 5.23,6.59
1996-08-11, 5.16,6.58
1996-08-18, 5.22,6.58
1996-08-25, 5.49,6.58
1996-09-01, 5.17,6.57
1996-09-08, 5.06,6.57
1996-09-15, 5.14,6.57
1996-09-22, 5.33,6.56
1996-09-29, 5.24,6.56
1996-10-06, 5.37,6.56
1996-10-13, 5.45,6.56
1996-10-20, 5.81,6.55
1996-10-27, 5.44,6.55
1996-11-03, 5.55,6.55
1996-11-10, 5.85,6.55
1996-11-17, 6.12,6.55
1996-11-24, 6.51,6.55
1996-12-01, 6.25,6.55
1996-12-08, 6.12,6.54
1996-12-15, 6.11,6.54
1996-12-22, 6.07,6.54
1996-12-29, 6.38,6.54
1997-01-05, 6.65,6.54
1997-01-12, 6.70,6.54
1997-01-19, 6.92,6.54
1997-01-26, 6.76,6.54
1997-02-02, 6.97,6.54
1997-02-09, 6.88,6.55
1997-02-16, 7.08,6.55
1997-02-23, 6.86,6.55
1997-03-02, 7.26,6.55
1997-03-09, 7.09,6.55
1997-03-16, 7.37,6.55
1997-03-23, 7.08,6.55
1997-03-30, 6.93,6.55
1997-04-06, 6.84,6.55
1997-04-13, 6.91,6.56
1997-04-20, 7.37,6.56
1997-04-27, 7.22,6.56
1997-05-04, 7.09,6.56
1997-05-11, 7.48,6.56
1997-05-18, 7.61,6.56
1997-05-25, 7.57,6.57
1997-06-01, 7.50,6.57
1997-06-08, 7.76,6.57
1997-06-15, 7.72,6.57
1997-06-22, 7.43,6.58
1997-06-29, 7.70,6.58
1997-07-06, 7.39,6.58
1997-07-13, 7.34,6.58
1997-07-20, 7.69,6.58
1997-07-27, 7.24,6.58
1997-08-03, 7.14,6.59
1997-08-10, 6.71,6.59
1997-08-17, 6.74,6.59
1997-08-24, 6.72,6.59
1997-08-31, 6.66,6.59
1997-09-07, 6.38,6.59
1997-09-14, 6.50,6.59
1997-09-21, 6.31,6.59
1997-09-28, 6.10,6.58
1997-10-05, 6.23,6.58
1997-10-12, 6.42,6.58
1997-10-19, 6.47,6.58
1997-10-26, 6.41,6.58
1997-11-02, 6.29,6.58
1997-11-09, 6.44,6.58
1997-11-16, 6.03,6.58
1997-11-23, 6.23,6.58
1997-11-30, 6.07,6.58
1997-12-07, 6.25,6.58
1997-12-14, 6.04,6.58
1997-12-21, 5.76,6.58
1997-12-28, 5.81,6.57
1998-01-04, 5.86,6.57
1998-01-11, 5.78,6.57
1998-01-18, 5.75,6.57
1998-01-25, 5.72,6.57
1998-02-01, 5.60,6.57
1998-02-08, 5.54,6.56
1998-02-15, 5.46,6.56
1998-02-22, 5.58,6.56
1998-03-01, 5.92,6.56
1998-03-08, 6.12,6.56
1998-03-15, 5.97,6.56
1998-03-22, 5.72,6.55
1998-03-29, 5.41,6.55
1998-04-05, 5.77,6.55
1998-04-12, 5.99,6.55
1998-04-19, 5.88,6.55
1998-04-26, 6.15,6.55
1998-05-03, 5.78,6.55
1998-05-10, 5.68,6.54
1998-05-17, 5.56,6.54
1998-05-24, 5.80,6.54
1998-05-31, 5.70,6.54
1998-06-07, 5.79,6.54
1998-06-14, 5.55,6.54
1998-06-21, 5.52,6.53
1998-06-28, 5.42,6.53
1998-07-05, 5.44,6.53
1998-07-12, 5.71,6.53
1998-07-19, 6.06,6.53
1998-07-26, 5.88,6.53
1998-08-02, 5.69,6.52
1998-08-09, 5.63,6.52
1998-08-16, 5.65,6.52
1998-08-23, 5.80,6.52
1998-08-30, 5.77,6.52
1998-09-06, 5.75,6.52
1998-09-13, 5.64,6.52
1998-09-20, 5.68,6.51
1998-09-27, 5.28,6.51
1998-10-04, 5.36,6.51
1998-10-11, 5.46,6.51
1998-10-18, 5.44,6.51
1998-10-25, 5.43,6.50
1998-11-01, 5.46,6.50
1998-11-08, 5.26,6.50
1998-11-15, 5.36,6.50
1998-11-22, 5.22,6.49
1998-11-29, 5.06,6.49
1998-12-06, 4.94,6.49
1998-12-13, 4.95,6.49
1998-12-20, 4.96,6.48
1998-12-27, 5.06,6.48
1999-01-03, 4.93,6.48
1999-01-10, 5.04,6.48
1999-01-17, 5.01,6.47
1999-01-24, 4.93,6.47
1999-01-31, 5.04,6.47
1999-02-07, 4.95,6.46
1999-02-14, 4.69,6.46
1999-02-21, 4.77,6.46
1999-02-28, 4.78,6.45
1999-03-07, 4.65,6.45
1999-03-14, 4.75,6.45
1999-03-21, 5.07,6.45
1999-03-28, 4.90,6.44
1999-04-04, 5.02,6.44
1999-04-11, 5.31,6.44
